Paper_Title,Authors,Year,Venue,Published_Link,Quartile,Brief_Summary,Problem_Solved,Methodology_Short,Type,Original_Link
Acceptance Test Generation with Large Language Models: An Industrial Case Study,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2504.07244,Q3 [estimated],AutoUAT and Test Flow tools generate acceptance test scenarios from user stories and convert them into executable scripts; shows LLMs can improve the UAT process with tooling and supervision.,Underexplored application of LLMs to user acceptance testing.,"Two-step generation of UAT scenarios then executable scripts, with industrial evaluation.",empirical,https://arxiv.org/html/2504.07244v1
Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study (AToMIC),Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2510.18861,Q3 [estimated],"AToMIC uses specialized LLMs to generate Gherkin scenarios, Page Objects, and executable UI test scripts directly from JIRA tickets and recent code changes.",Manual effort in producing executable acceptance tests for mobile apps.,"Multi-LLM pipeline from requirements/code-changes to Gherkin, POs, and UI scripts; industrial study.",empirical,http://arxiv.org/pdf/2510.18861v1
Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2401.02705,Q3 [estimated],Proposes a multi-agent collaborative LLM system that autonomously performs user acceptance testing with human-like decision making.,Automating UAT end-to-end with collaborating autonomous LLM agents.,Multi-agent architecture where LLM agents plan and execute UAT tasks.,tool,https://arxiv.org/html/2401.02705v2
Autonomous Large Language Model Agents Enabling Intent-Driven Mobile GUI Testing (DroidAgent),"Juyeon Yoon, Robert Feldt, Shin Yoo",2024,arXiv preprint / ISSTA-adjacent [estimated],https://arxiv.org/abs/2311.08649,Q2 [estimated],"DroidAgent is an autonomous Android GUI testing agent that sets and pursues semantic tasks using multiple LLM instances plus long/short-term memory, producing executable scenarios.","Moving beyond random exploration to intent-driven, semantic mobile GUI testing.",Modular multi-LLM agent with memory that autonomously explores and scripts scenarios.,tool,https://arxiv.org/html/2311.08649v1
Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions (GPTDroid),"Zhe Liu, Chunyang Chen, Junjie Wang, Mengzhuo Chen, Boyu Wu, Xing Che, Dandan Wang, Qing Wang",2023,IEEE/ACM ICSE 2024,https://dl.acm.org/doi/10.1145/3597503.3639180,Q1 [estimated],"GPTDroid formulates mobile GUI testing as a Q&A with the LLM, making functionality-aware decisions to interact with apps like a human tester and achieve higher coverage/bug detection.",Random/model-based GUI testing lacks human-like semantic understanding.,LLM-as-tester Q&A loop with functionality-aware prompting on real Android apps.,empirical,http://arxiv.org/pdf/2310.15780v1
Are Autonomous Web Agents Good Testers?,"Antoine Chevrot, Alexandre Vernotte, Jean-Remy Falleri, Xavier Blanc, Bruno Legeard [estimated]",2025,arXiv preprint,https://arxiv.org/abs/2504.01495,Q3 [estimated],"Evaluates whether autonomous web agents (ATAs) can execute manual test cases from NL instructions and deliver verdicts, positioning them as alternatives to brittle scripts.",Assessing LLM web agents as autonomous test executors/oracles for web apps.,"Empirical evaluation of ATA baselines (e.g., SeeAct-ATA) executing and verifying manual test cases.",empirical,https://arxiv.org/html/2504.01495v1
Towards Autonomous Testing Agents via Conversational Large Language Models,"Robert Feldt, Sungmin Kang, Juyeon Yoon, Shin Yoo",2023,IEEE/ACM ASE 2023,https://ieeexplore.ieee.org/document/10298415,Q1 [estimated],"Presents a taxonomy of LLM-based testing agents by autonomy level and demonstrates a conversational testing framework, arguing hallucination can aid test exploration.",Framing and structuring how autonomous LLM agents can drive the testing process.,Conceptual taxonomy plus a conversational testing framework demonstration.,tool,https://arxiv.org/html/2306.05152v2
WebVoyager: Building an End-to-End Web Agent with Large Multimodal Models,"Hongliang He, Wenlin Yao, Kaixin Ma, Wenhao Yu, Yong Dai, Hongming Zhang, Zhenzhong Lan, Dong Yu",2024,ACL 2024,https://aclanthology.org/2024.acl-long.371/,Q1 [estimated],"WebVoyager is an end-to-end multimodal web agent that completes real-world website tasks, reaching 59.1% success and introducing an automated GPT-4V-based evaluation protocol.",Building and evaluating agents that autonomously operate real web interfaces end-to-end.,Multimodal (screenshot+DOM) agent with an automated LLM-based success evaluator.,empirical,https://arxiv.org/html/2401.13919v3
Test Oracle Automation in the Era of LLMs,"Facundo Molina, Alessandra Gorla, Marcelo d'Amorim [estimated]",2024,arXiv preprint (ACM FSE Visions/adjacent) [estimated],https://arxiv.org/abs/2405.12766,Q3 [estimated],"Examines opportunities and challenges of using LLMs to automate test oracle generation, a key bottleneck for autonomous verification.",The oracle problem: deciding correct vs incorrect behavior automatically.,Position/analysis of LLM-based oracle generation approaches and open challenges.,review,https://arxiv.org/html/2405.12766v1
Multi-Agent LLMs for End-to-End Test Generation with Accurate Oracles,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2506.02943,Q3 [estimated],Multi-agent LLM framework generating end-to-end tests with accurate oracles from NL without fine-tuning or external prefix-generation tools like EvoSuite.,Producing correct oracles and complete tests without heavy tooling/fine-tuning.,Multi-agent decomposition for test prefix and oracle generation.,tool,https://arxiv.org/html/2506.02943v4
On the Soundness and Consistency of LLM Agents for Executing Test Cases Written in Natural Language,[estimated: authors not confirmed],2025,arXiv:2509.19136,https://arxiv.org/abs/2509.19136,Q3 [estimated],Formal study of soundness (false failures from ambiguous NL) and consistency (nondeterministic re-runs) when LLM agents execute NL test cases.,Prior work assumes generated cases are the deliverable; this exposes reliability/flakiness risks in the EXECUTION of NL tests — a threat-to-validity the new paper must address for its execution half.,See novelty; VERY HIGH — defines the reliability/flakiness challenge of NL-driven test execution agents; key related-work + threats-to-validity citation.,empirical,https://arxiv.org/abs/2509.19136
AI Agents for Web Testing (WebProber),[estimated: authors not confirmed],2025,arXiv:2509.05197,https://arxiv.org/abs/2509.05197,Q3 [estimated],"Prototype AI-agent framework that, given a URL, autonomously explores a site, simulates real user interactions, detects bugs/usability issues, and produces human-readable reports.","Adds autonomous EXPLORATION + bug/usability detection with human-like interaction, beyond static generation of business-process test cases.",See novelty; HIGH — autonomous web exploration and defect reporting is a form of the execution/UAT-agent capability.,empirical,https://arxiv.org/abs/2509.05197
Autonomous Intelligent Agents for Natural-Language-Driven Web Execution with Integrated Security Assurance,[estimated: authors not confirmed],2026,arXiv:2605.15281,https://arxiv.org/abs/2605.15281,Q3 [estimated],"NL-driven web execution agents that generate Selenium scripts; raises script-generation success 55%->93%, 8x fewer navigation failures, 80% fewer timing races, 75% less test-creation time; integrates security assurance.",Goes past generation into robust NL-to-executable-script EXECUTION with quantified reliability gains and security checks — directly relevant to production UAT execution.,See novelty; VERY HIGH — end-to-end NL-to-execution pipeline with concrete execution-reliability metrics.,empirical,https://arxiv.org/abs/2605.15281
A Zero-Cost Self-Healing Approach Using DOM Accessibility Tree Extraction (Beyond LLM-based test automation),[estimated: authors not confirmed],2026,arXiv:2603.20358,https://arxiv.org/abs/2603.20358,Q3 [estimated],"Replaces per-run LLM discovery with structured accessibility-tree extraction; self-heals only broken selectors (<1s, zero human intervention); scales to 300+ tests at zero ongoing API cost.",Prior work does not touch execution maintenance; this tackles brittle-locator self-healing and DOM-abstraction for durable EXECUTION at scale/low cost.,See novelty; VERY HIGH — self-healing + DOM/accessibility-tree abstraction are core execution-phase mechanics.,empirical,https://arxiv.org/abs/2603.20358
Practical Limits of Autonomous Test Repair: A Multi-Agent Case Study with LLM-Driven Discovery and Self-Correction,[estimated: authors not confirmed],2026,arXiv:2605.01471,https://arxiv.org/abs/2605.01471,Q3 [estimated],"Analyzes 300 autonomous execution reports / 636 test-case executions across 10 scenario families; 70% repair-convergence rate, mean 4.4 repair iterations.",Provides empirical limits of autonomous self-repair during EXECUTION — grounds realistic expectations for the execution contribution.,See novelty; VERY HIGH — quantifies autonomous repair/self-correction during test execution.,empirical,https://arxiv.org/abs/2605.01471
Framework and Benchmark for Code-Driven Agentic Testing in Web Development (CAT),[estimated: authors not confirmed],2026,arXiv:2609.00081,https://arxiv.org/abs/2609.00081,Q3 [estimated],"Introduces Code-driven Agentic Testing: agent writes Playwright code to drive the browser, gathers feedback, autonomously explores web apps to find bugs; provides a benchmark for VLM bug-discovery.",Introduces a paradigm and BENCHMARK for agentic end-to-end web execution/bug-finding — prior work lacked any execution benchmark.,See novelty; VERY HIGH — execution paradigm + benchmark; useful for evaluating the new execution half.,empirical,https://arxiv.org/abs/2609.00081
HxAgent: Iterative Agent Planning for End-to-End Web Application Testing,[estimated: authors not confirmed],2026,arXiv:2608.15491,https://arxiv.org/abs/2608.15491,Q3 [estimated],"Iterative planning agent for E2E web testing; 97.4% Exact-Match on MiniWoB++, 83.8% EM / 91.8% Prefix-Match on 350 web tasks, beating WALT by 10-13%.",Advances autonomous EXECUTION planning accuracy on web tasks well beyond static generation.,See novelty; HIGH — iterative execution planning for E2E web app testing.,empirical,https://arxiv.org/abs/2608.15491
LLM-Guided Scenario-based GUI Testing (ScenGen),[estimated: authors not confirmed],2025,arXiv:2506.05079,https://arxiv.org/abs/2506.05079,Q3 [estimated],"Five-agent LLM pipeline (Observer, Decider, Executor, Supervisor, Recorder) that maps app business logic to scenario-based GUI tests and executes them.","Extends business-logic-aware testing into a MULTI-AGENT EXECUTION loop on mobile GUI, versus prior single-phase generation.",See novelty; HIGH — multi-agent architecture spanning perceive->decide->execute->verify; template for execution agents.,empirical,https://arxiv.org/abs/2506.05079
From Business Requirements to Test Assertions: Evaluating LLM-Generated Oracles on Real Bugs,[estimated: authors not confirmed],2026,arXiv:2607.10277,https://arxiv.org/abs/2607.10277,Q3 [estimated],Evaluates LLM-generated oracles/assertions derived from business requirements against real bugs; finds oracles align more with requirements than with SUT and show high variance.,"Directly probes the requirements->oracle path used by the prior generation work, exposing its accuracy limits on real bugs.",See novelty; MEDIUM-HIGH — oracle reliability is central to autonomous verdicts in the execution phase.,empirical,https://arxiv.org/abs/2607.10277
Agent-Based Test Assertion Generation via Diverse Perspective Aggregation,[estimated: authors not confirmed],2026,arXiv:2608.05822,https://arxiv.org/abs/2608.05822,Q3 [estimated],"Agent-based assertion generation that aggregates diverse LLM perspectives to produce stronger, more diverse assertions/oracles.",Advances assertion/oracle strength via multi-perspective agents beyond single-model generation.,See novelty; MEDIUM — stronger oracles improve execution verdict fidelity.,empirical,https://arxiv.org/abs/2608.05822
Multi-Agent LLM Collaboration for Unit Test Generation via Human-Testing-Inspired Workflows (TestAgent),[estimated: authors not confirmed],2026,arXiv:2607.09101,https://arxiv.org/abs/2607.09101,Q3 [estimated],LLM test generation emulating human testing practice through multi-agent collaboration.,"Multi-agent, human-workflow-inspired generation vs single-prompt business-process generation.",See novelty; MEDIUM — architecture relevance; primarily generation-side.,empirical,https://arxiv.org/abs/2607.09101
DOM Tree Pruning Programming for Web Agent (Prune4Web),[estimated: authors not confirmed],2025,arXiv:2511.21398,https://arxiv.org/abs/2511.21398,Q3 [estimated],Shifts DOM handling from LLM reading of 10k-100k-token DOMs to LLM-generated executable Python scoring scripts that programmatically prune DOM elements.,Novel DOM-ABSTRACTION technique that makes execution agents scalable on huge real-world pages.,See novelty; HIGH — DOM abstraction/scalability is a core execution-agent bottleneck.,empirical,https://arxiv.org/abs/2511.21398
Manipulating LLM Web Agents with Indirect Prompt Injection via HTML Accessibility Tree,[estimated: authors not confirmed],2025,arXiv:2507.14799,https://arxiv.org/abs/2507.14799,Q3 [estimated],Shows adversarial triggers embedded in HTML/accessibility tree can hijack LLM web agents into unintended actions.,Introduces a SECURITY threat model for accessibility-tree-based execution agents absent from generation-only prior work.,See novelty; HIGH — security/threats-to-validity for DOM/accessibility-tree-driven execution agents.,empirical,https://arxiv.org/abs/2507.14799
The Potential of LLMs in Automating Software Testing,[estimated: authors not confirmed],2025,arXiv:2501.00217,https://arxiv.org/abs/2501.00217,Q3 [estimated],"Agent-oriented framework generating unit tests, visualizing call graphs, and automating test execution and reporting.","Adds automated EXECUTION + reporting to generation, reducing human intervention across the loop.",See novelty; MEDIUM-HIGH — explicit generation+execution+reporting automation.,empirical,https://arxiv.org/abs/2501.00217
Evaluating LLMs for Multimodal GUI Test Generation in Android Applications,[estimated: authors not confirmed],2025,SAST 2025 [estimated],https://leopoldomt.github.io/assets/pdf/2025-sast.pdf,Q3 [estimated],Empirically evaluates multiple LLMs for multimodal (screenshot+DOM) GUI test generation; effectiveness varies by model.,Provides recent multimodal GUI-testing evidence and model-comparison the new paper should cite.,See novelty; MEDIUM — multimodal GUI grounding informs execution-agent perception.,empirical,https://leopoldomt.github.io/assets/pdf/2025-sast.pdf
KuiTest: Leveraging Knowledge in the Wild as GUI Testing Oracle for Mobile Apps,[estimated: authors not confirmed],2025,arXiv/ResearchGate 2025 [estimated],https://www.researchgate.net/publication/394793449,Q3 [estimated],Uses external in-the-wild knowledge as a GUI testing oracle where no executable spec exists (model-parametric oracle).,Novel oracle strategy for GUI where prior work had no runtime oracle.,See novelty; MEDIUM-HIGH — oracle technique for execution-time verdicts on GUI.,empirical,https://www.researchgate.net/publication/394793449
FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair,"Sakina Fatima, Hadi Hemmati, Lionel Briand [estimated]",2024,IEEE Transactions on Software Engineering (TSE),https://arxiv.org/abs/2307.00012,Q1 [estimated],"Uses LLMs to predict flaky-test fix categories and to repair flaky test code, moving beyond mere flakiness prediction to actionable fixes.",Flaky tests non-deterministically pass/fail; little tool support exists to actually fix them.,"LLM-based fix-category prediction plus code repair, evaluated on flaky-test datasets.",empirical,https://arxiv.org/pdf/2307.00012
An Analysis of LLM Fine-Tuning and Few-Shot Learning for Flaky Test Detection and Classification,"Riddhi More, Jeremy S. Bradbury [estimated]",2025,arXiv preprint,https://arxiv.org/abs/2502.02715,Q3 [estimated],"Compares fine-tuning vs few-shot learning of LLMs for detecting and classifying flaky tests, characterizing data/resource tradeoffs.",Reliable flaky-test detection/classification with limited labeled data.,Empirical comparison of LLM fine-tuning and few-shot learning on flaky-test datasets.,empirical,https://arxiv.org/html/2502.02715v1
FlakyGuard: Automatically Fixing Flaky Tests at Industry Scale,Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2511.14002,Q3 [estimated],"Automatically repairs reproducible flaky tests at industrial scale, repairing 47.6% with 51.8% developer-accepted fixes and beating prior work by >=22%.",Industrial-scale automatic repair of flaky tests to keep CI reliable.,"LLM-driven flaky-test reproduction and repair pipeline, industrial evaluation.",empirical,https://arxiv.org/pdf/2511.14002v1
Adaptive Test Generation Using a Large Language Model (TestPilot),"Max Schafer, Sarah Nadi, Aryaz Eghbali, Frank Tip",2024,IEEE Transactions on Software Engineering (TSE),https://arxiv.org/abs/2302.06527,Q1 [estimated],"TestPilot uses an off-the-shelf LLM (Codex) to adaptively generate JavaScript unit tests without extra training, achieving 70.2% median statement coverage.",Automated unit test generation across languages with poor tool support and low readability.,"Adaptive prompt-based generation with feedback, evaluated against Nessie on npm packages.",tool,https://arxiv.org/html/2302.06527v2
Multi-language Unit Test Generation using LLMs,"Rangeet Pan, Myeongsoo Kim, Rahul Krishna, Raju Pavuluri, Saurabh Sinha",2025,IEEE/ACM ICSE 2025,https://arxiv.org/abs/2409.03093,Q1 [estimated],"A generic static-analysis-guided pipeline that steers LLMs to produce compilable, high-coverage unit tests across Java and Python, including environment mocking.",Generated tests often fail to compile and lack coverage; few languages supported.,Static-analysis-guided LLM pipeline (context + mocking) evaluated on Java and Python.,tool,https://arxiv.org/html/2409.03093v1
Coverage-Guided LLM-Based Test Generation (CoverUp),"Juan Altmayer Pizzorno, Emery D. Berger",2024,arXiv preprint,https://arxiv.org/abs/2403.16218,Q3 [estimated],"CoverUp interleaves coverage analysis with LLM dialogs to iteratively raise Python regression-test coverage, beating CodaMosa on line/branch coverage.",LLM test generation uses fixed prompts and ignores which code remains uncovered.,Iterative coverage-analysis-in-the-loop prompting to target uncovered lines/branches.,tool,https://arxiv.org/html/2403.16218v1
Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM (SymPrompt),"Gabriel Ryan, Siddhartha Jain, Mingyue Shang, Shiqi Wang, Xiaofei Ma, Murali Krishna Ramanathan, Baishakhi Ray",2024,ACM FSE / PACMSE 2024,https://arxiv.org/abs/2402.00097,Q1 [estimated],"SymPrompt uses symbolic path prompts to guide LLMs, improving correct test generations 5x and coverage 26% (2x on GPT-4) in regression settings.",Fixed prompting strategies limit coverage and correctness of LLM regression tests.,Symbolic execution-path-aware prompting evaluated on CodeGen2 and GPT-4.,tool,https://arxiv.org/abs/2402.00097v1
"A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation",Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2501.10200,Q3 [estimated],"Compares search-based, symbolic-execution, and LLM-based unit test generation; LLMs trail on coverage but lead on mutation score, indicating deeper semantic understanding.",Understanding relative strengths of classic vs LLM test generation paradigms.,Controlled empirical comparison across three test-generation paradigms.,empirical,https://arxiv.org/html/2501.10200v1
"Large-scale, Independent and Comprehensive Study of the Power of LLMs for Test Case Generation","Wendkuuni C. Ouedraogo, Kader Kabore, Haoye Tian, et al. [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2407.00225,Q3 [estimated],"Large independent study of LLM unit-test generation across correctness, understandability, coverage, and test smells, comparing to EvoSuite.","Fragmented, non-independent evidence on LLM test-generation quality and test smells.",Large-scale empirical study over many models/projects benchmarked against EvoSuite.,empirical,https://arxiv.org/html/2407.00225v2
Correct and Strong Test Oracle Generation with LLMs (TOGLL),"Soneya Binta Hossain, Matthew Dwyer",2024,arXiv preprint,https://arxiv.org/abs/2405.03786,Q3 [estimated],"TOGLL generates correct and fault-revealing test oracles with LLMs, detecting 1,023 mutants EvoSuite misses and outperforming TOGA on real Defects4J bugs.",The oracle problem: generating oracles that are both correct and strong at finding bugs.,LLM-based oracle generation evaluated on mutants and Defects4J real bugs.,tool,https://arxiv.org/html/2405.03786v2
Do LLMs Generate Test Oracles That Capture the Actual or the Expected Program Behaviour?,"Michael Konstantinou, Renzo Degiovanni, Mike Papadakis [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2410.21136,Q3 [estimated],Studies whether LLM-generated oracles encode expected vs actual behaviour; LLMs are better at generating than classifying oracles and benefit from meaningful names.,Risk that LLM oracles merely restate current (possibly buggy) behaviour instead of intended behaviour.,Empirical study of oracle generation vs classification with fault-detection analysis.,empirical,https://arxiv.org/html/2410.21136v1
Retrieval-Augmented Test Generation,"Jiho Shin, Reem Aleithan, Hadi Hemmati, Song Wang [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2409.12682,Q3 [estimated],"Investigates RAG for unit-test generation over API docs, GitHub issues, and StackOverflow Q&As, analysing how each knowledge source affects test quality.","LLM tests lack grounding in external, domain-specific knowledge.",RAG pipeline evaluated across three knowledge sources for ML/DL API tests.,empirical,https://arxiv.org/html/2409.12682v1
Generating Test Scenarios from NL Requirements using Retrieval-Augmented LLMs (RAGTAG),Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2404.12772,Q3 [estimated],RAGTAG uses RAG with LLMs to integrate domain knowledge and generate functional test scenarios from natural-language requirements.,Requirements-based test scenario generation needs domain grounding to be accurate.,Retrieval-augmented generation of test scenarios from NL requirements.,tool,https://arxiv.org/abs/2404.12772
Vision-driven Automated Mobile GUI Testing via Multimodal Large Language Model (VisionDroid),"Zhe Liu, Cheng Li, Chunyang Chen, Junjie Wang, et al. [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2407.03037,Q3 [estimated],VisionDroid aligns GUI text with screenshots into a vision prompt so an MLLM can detect non-crash functional bugs during mobile GUI testing.,Detecting non-crash functional bugs that text-only GUI testing misses.,MLLM vision+text prompting over app exploration to spot functional GUI defects.,tool,https://arxiv.org/html/2407.03037v1
Towards Test Generation from Task Description for Mobile Testing with Multi-modal Reasoning (VisiDroid),Authors [estimated],2025,arXiv preprint,https://arxiv.org/abs/2504.15917,Q3 [estimated],"VisiDroid combines images and text so an LLM can generate mobile tests from task descriptions and better judge task completion, reaching 87.3% accuracy.",Knowing when a task-driven mobile test has actually completed its goal.,Multimodal (image+text) reasoning framework for task-based mobile test generation.,tool,https://arxiv.org/html/2504.15917v1
Large Language Models for Mobile GUI Text Input Generation,Authors [estimated],2024,arXiv preprint,https://arxiv.org/abs/2404.08948,Q3 [estimated],Systematically evaluates LLMs for generating semantically valid text inputs that unblock automated mobile GUI exploration.,Text-input fields block automated GUI exploration when inputs are not semantically valid.,Empirical evaluation of multiple LLMs for GUI text-input generation.,empirical,https://arxiv.org/html/2404.08948
AutoDroid: LLM-powered Task Automation in Android,"Hao Wen, Yuanchun Li, Guohong Liu, et al.",2024,ACM MobiCom 2024,https://arxiv.org/abs/2308.15272,Q1 [estimated],AutoDroid combines LLM commonsense with app-specific knowledge from dynamic analysis to autonomously complete arbitrary tasks on any Android app.,Prior mobile task automation lacked scalable language understanding and needed manual effort.,LLM + automated dynamic analysis to build app knowledge and execute UI tasks.,tool,https://arxiv.org/abs/2308.15272
DroidBot-GPT: GPT-powered UI-grounded Smartphone Task Automation in Android,"Hao Wen, Hongming Wang, Jiaxuan Liu, Yuanchun Li",2024,arXiv preprint,https://arxiv.org/abs/2304.07061,Q3 [estimated],"DroidBot-GPT translates GUI state and available actions into NL prompts and asks a GPT-like LLM to choose actions, automating Android app tasks from NL descriptions.",Automating Android UI task execution directly from natural-language goals.,GUI-to-NL prompting loop with an LLM action selector on real Android apps.,tool,https://arxiv.org/html/2304.07061v3
A Realistic Web Environment for Building Autonomous Agents (WebArena),"Shuyan Zhou, Frank F. Xu, Hao Zhu, Xuhui Zhou, et al.",2024,ICLR 2024,https://arxiv.org/abs/2307.13854,Q1 [estimated],"WebArena is a reproducible, self-hostable web environment with long-horizon tasks used to build and benchmark autonomous web agents that execute and are auto-verified.","Lack of realistic, reproducible environments to evaluate autonomous web agents.",Functional web environment + task suite with programmatic success evaluation.,tool,https://arxiv.org/html/2307.13854v1
A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration (WebPilot),"Yao Zhang, Zijian Ma, Yunpu Ma, et al. [estimated]",2024,arXiv preprint,https://arxiv.org/abs/2408.15978,Q3 [estimated],"WebPilot is a multi-agent MCTS-based system for autonomous web task execution, achieving SOTA on WebArena and strong MiniWoB++ results with GPT-4.",Autonomous multi-step web task execution needs strategic exploration and planning.,Multi-agent Monte-Carlo-tree-search planning evaluated on WebArena and MiniWoB++.,tool,https://arxiv.org/html/2408.15978v1
